Key,Type,Name,Changes,Description,Vendor,Version,Architecure Layers,Tech Stacks,Lines of Code,Maintenance,Support,Hits,Business Process,Business Using,Status,Strategy,Change Date,Follow-Up,Originated,Comments
2.01501E+13,Tools,Jasmine,,Jasmine is a behavior-driven development framework for testing JavaScript code (Unit Testing Library). It does not depend on any other JavaScript frameworks. It does not require a DOM. And it has a clean; obvious syntax so that you can easily write tests. This guide is running against Jasmine version 2.0.0.,Pivotal Open Source,,,,50000,,,,,Fleet;CDF;GECA HQ;Capital HQ,Adopt,,12/4/2014,,1/1/2013,Chris Thorne created a JavaScript code coverage template using JSLint; Jasmine; and Karma. Updated using Ann Dvoretsky's XLS notes
2.01501E+13,Tools,Karma,,A simple tool that allows you to execute JavaScript code in multiple real browsers. The main purpose of Karma is to make your TDD development easy; fast; and fun.,MIT License,,,,50000,,,,,Fleet;GECA,Adopt,,12/4/2014,,1/1/2014,Chris Thorne created a JavaScript code coverage template using JSLint; Jasmine; and Karma.
2.01501E+13,Platforms,HighCharts,,Data Visualization Charting/Reporting,Highsoft AS,,,,50000,,,,,,Adopt,,11/20/2014,,1/1/2013,Added from Ann Dvoretsky's XLS notes
2.01501E+13,Platforms,NodeJS,,Backend Javascript platform,Open Source,,,,20000,,,,,Fleet;CDF;GECA,Adopt,,12/4/2014,,1/1/2014,Added from Ann Dvoretsky's XLS notes
2.01501E+13,Tools,Bootstrap,,CSS framework for grid layout and styling,Twitter Open Source,,,,20000,,,,,Fleet;CDF,Trial,Adopt,11/12/2014,,1/1/2014,Added using Ann Dvoretsky's XLS notes
2.01501E+13,Tools,Grunt,,Workflow operations; client side code quality validating against JShint (ANT for UI),Open Source,,,,20000,,,,,Fleet;CDF;MyGECApital,Adopt,,11/20/2014,,10/1/2013,Added using Ann Dvoretsky's XLS notes
2.01501E+13,Tools,Omnigraffle,,Wireframing and mock up tool with a high focus on usability,The Omni Group,,,,20000,,,,,Fleet;CDF;Rail,Trial,Adopt,12/9/2014,N,1/1/2013,Added using Ann Dvoretsky's XLS notes
2.01501E+13,Tools,RequireJS,,Client side dependency manager; Javascript library for dependency management,Open Source,,,,20000,,,,,Fleet;CDF;GECA,Adopt,,12/9/2014,N,1/1/2013,Added using Ann Dvoretsky's XLS notes
2.01501E+13,Tools,UnderscoreJS,,Javascript library for templating and utilities,Open Source,,,,20000,,,,,Fleet;CDF;GECA,Adopt,,12/9/2014,N,1/1/2013,Added using Ann Dvoretsky's XLS notes
2.01501E+13,Tools,IBM Integration Designer (IID),,Eclipse-based tool for building SOA-based BPM and integration solutions across WebSphere Process Server; WebSphere ESB; and WebSphere Adapters (Replacement for WID),IBM,8.5.1,,,150000,,,,,,Adopt,,11/20/2014,,1/1/2014,Added based on Lewis Giannetti's XLS notes
2.01501E+13,Platforms,IBM Process Manager,,BPMN2 standard in developing human centric workflow definitions (BPD) from business requirements,IBM,7.04.01,,,150000,,,,,,Adopt,,11/20/2014,,1/1/2014,Added based on Lewis Giannetti's XLS notes
2.01501E+13,Platforms,IBM Operational Decision Management (ODM),,Complete rules management platform (BRMS),IBM,7.04.01,,,500000,,,,,Canada;CDF;Fleet,Adopt,,11/20/2014,,1/1/2011,Added based on Lewis Giannetti's XLS notes
2.01501E+13,Tools,Informatica Identity Resolution,,Formally SSA - Software that enables intelligent searching and matching against systems of record,Informatica,,,,1000000,,,,,EF;Canada,Assess,,1/8/2015,Y,1/1/1999,Added based on Lewis Giannetti's XLS notes; ilitics on mainframe; look at which one to use (follow-up) - Forrest will setup meeting to determine single product.
2.01501E+13,Tools,i/Lytics Data Management,,Software that enables intelligent searching and matching against systems of record,Informatica,,,,100000,,,,,EF,Assess,,11/20/2014,,1/1/2014,Added based on Lewis Giannetti's XLS notes. EF in PMS world. Integrated into DB.
2.01501E+13,Tools,Antisamy - OWASP,,OWASP AntiSamy is a library for HTML and CSS encoding. Technically; it is an API for ensuring user-supplied HTML/CSS is in compliance within an application's rules. Another way of saying that could be: It's an API that helps you make sure that clients don't supply malicious cargo code in the HTML they supply for their profile; comments; etc.; that get persisted on the server.,OWASP - Open Web Application Security Project,,,,20000,,,,,Corporate HR,Move Off,,11/21/2014,,1/1/2012,"James Ratzlaff wanted to add Antisamy in ""Move Off"" status to make sure no new development uses it; and uses ESAPI instead (11/21/2014)."
2.01501E+13,Tools,ESAPI - Enterprise Security API,,OWASP ESAPI (The OWASP Enterprise Security API) is a free; open source; web application security control library that makes it easier for programmers to write lower-risk applications. The ESAPI for Java library is designed to make it easier for programmers to retrofit security into existing applications. ESAPI for Java also serves as a solid foundation for new development.,Open Source,,,,60000,,,,,,Adopt,,11/21/2014,,1/1/2012,"James Ratzlaff wanted to add Antisamy in ""Move Off"" status to make sure no new development uses it; and uses ESAPI instead."
2.01501E+13,Platforms,Ataccama,,Data quality and data quality management (reporting; user definition; clensing; rules etc.),Ataccama Corp,,,,5000,80000,,,,GE Capital HQ;GE Capital Chezch Repubic,Adopt,,12/4/2014,,6/1/2014,
2.01501E+13,Platforms,JBoss-International,6+,Application server authored by JBoss; now developed by Red Hat. WildFly is written in Java; and implements the Java Platform; Enterprise Edition (Java EE) specification,Red Hat,,,,800000,,,,,,Adopt,,12/4/2014,,1/1/2011,
2.01501E+13,Platforms,LifeRay-International,,Liferay Portal is a web platform with features commonly required for the development of websites and portals. Liferay includes a built-in web content management system allowing users to build websites and portals as an assembly of themes; pages; portlets/gadgets and a common navigation,Open Source,,,,500000,,,,,,Hold,,1/8/2015,N,1/1/2011,Is being adopted in UK
2.01501E+13,Platforms,Websphere-GECA,,IBM Application Server,IBM,,,,3000000,,,,,GECA,Adopt,,12/9/2014,N,1/1/2013,
2.01501E+13,Platforms,Websphere-International,,IBM Application Server,IBM,,,,3000000,,,,,GECA,Move Off,,12/9/2014,N,1/1/2013,Use JBoss
2.01501E+13,Platforms,Rainbow,2+,General Testing Automation platform with primary focus on web,GE,,,,100000,,,,,GECA;Capital;HQ,Adopt,,12/10/2014,N,1/1/2012,
2.01501E+13,Platforms,Siebel,,Service Request processing ,Siebel,,,,1000000,,,,,,Hold,Move Off,12/9/2014,N,12/9/2014,Outdated 
2.01501E+13,Languages,Hibernate,"Framework, 4+",Open source Java framework for ORM,Open Source,,,,500000,,,,,GECA,Adopt,,12/9/2014,N,12/9/2014,
2.01501E+13,Tools,Subversion,"SVN, 1.7+",Revision control system used in software development; especially when a project involves multiple teams in different locations,Open Source,,,,8000000,,,,,GECA;HQ,Adopt,,1/8/2015,Y,12/9/2014,Source control; or source repository? Consolidate tools - Hosts(Open GE; GIT Hub) Source Code Management(SVN; GIT; CVS).
2.01501E+13,Platforms,Teradata,,Enterprise Data Warehouse Platform,Teradata,,,,2000000,,,,,GECA;HQ,Adopt,Hold,12/9/2014,N,12/9/2014,
2.01501E+13,Tools,Introscope,centralized deployment,CA Wily Introscope monitors complex web applica tions in production environments 24x7; detects problems before they affect your customers and lets you resolve these issues quickly and collaboratively.,CA,,,,80000,,,,,GECA,Adopt,,12/10/2014,N,12/10/2014,
2.01501E+13,Tools,DynaTrace,,Allows business owners to understand performance from the user's point of view. This includes all (web) page actions; whether these actions call content and resources in the data centre or in the cloud.,Compuware,,,,50000,,,,,GECA,Adopt,,12/10/2014,N,12/10/2014,
2.01501E+13,Tools,Fiddler,,"Fiddler captures HTTP and HTTPS traffic and logs it for the user to review (the latter by implementing man-in-the-middle interception using self-signed certificates). Fiddler can also be used to modify (""fiddle with"") HTTP traffic for troubleshooting purposes as it is being sent or received. By default; traffic from Microsoft's WinINET HTTP(S) stack is automatically directed to the proxy at runtime; but any browser or web application (and most mobile devices) can be configured to route its traffic through Fiddler.",Telerik,,,,50000,,,,,GECA,Adopt,,12/10/2014,N,12/10/2011,
2.01501E+13,Tools,NewRelic,,New Relic is a software analytics company based in San Francisco; California. Lew Cirne founded New Relic in 2008 and currently acts as the company's CEO. New Relic's technology; delivered in a software as a service (SaaS) model; monitors Web and mobile applications in real-time that run in cloud; on-premises; or hybrid environments.,NewRelic,,,,20000,,,,,GECA,Adopt,,12/10/2014,N,12/10/2012,
,Platforms,JetStream,Assess->Adopt (1.0),,,,,,,,,,,,,,,,,
,Tools,Splunk,Not open source   ,,,,,,,,,,,,,,,,,
