Key,Type,Name,Description,Vendor,Version,Architecure Layers,Tech Stacks,Lines of Code,Maintenance,Support,Hits,Business Process,Business Using,Status,Strategy,Change Date,Follow-Up,Originated,Comments
20150121000123,Tools,RequireJS,Client side dependency manager; Javascript library for dependency management,Open Source,,,,20000,,,,,Fleet;CDF;GECA,Adopt,,2014/12/09,N,2013/01/01,Added using Ann Dvoretsky's XLS notes
20150121000124,Tools,UnderscoreJS,Javascript library for templating and utilities,Open Source,,,,20000,,,,,Fleet;CDF;GECA,Adopt,,2014/12/09,N,2013/01/01,Added using Ann Dvoretsky's XLS notes
20150121000125,Tools,IBM Integration Designer (IID),Eclipse-based tool for building SOA-based BPM and integration solutions across WebSphere Process Server; WebSphere ESB; and WebSphere Adapters (Replacement for WID),IBM,8.5.1,,,150000,,,,,,Adopt,,2014/11/20,,2014/01/01,Added based on Lewis Giannetti's XLS notes
20150121000126,Platforms,IBM Process Manager,BPMN2 standard in developing human centric workflow definitions (BPD) from business requirements,IBM,7.04.01,,,150000,,,,,,Adopt,,2014/11/20,,2014/01/01,Added based on Lewis Giannetti's XLS notes
20150121000127,Platforms,IBM Operational Decision Management (ODM),Complete rules management platform (BRMS),IBM,7.04.01,,,500000,,,,,Canada;CDF;Fleet,Adopt,,2014/11/20,,2011/01/01,Added based on Lewis Giannetti's XLS notes
20150121000128,Tools,Informatica Identity Resolution,Formally SSA - Software that enables intelligent searching and matching against systems of record,Informatica,,,,1000000,,,,,EF;Canada,Assess,,2015/01/08,Y,1999/01/01,Added based on Lewis Giannetti's XLS notes; ilitics on mainframe; look at which one to use (follow-up) - Forrest will setup meeting to determine single product.
20150121000129,Tools,i/Lytics Data Management,Software that enables intelligent searching and matching against systems of record,Informatica,,,,100000,,,,,EF,Assess,,2014/11/20,,2014/01/01,Added based on Lewis Giannetti's XLS notes. EF in PMS world. Integrated into DB.
20150121000130,Tools,Antisamy - OWASP,OWASP AntiSamy is a library for HTML and CSS encoding. Technically; it is an API for ensuring user-supplied HTML/CSS is in compliance within an application's rules. Another way of saying that could be: It's an API that helps you make sure that clients don't supply malicious cargo code in the HTML they supply for their profile; comments; etc.; that get persisted on the server.,OWASP - Open Web Application Security Project,,,,20000,,,,,Corporate HR,Move Off,,2014/11/21,,2012/01/01,James Ratzlaff wanted to add Antisamy in "Move Off" status to make sure no new development uses it; and uses ESAPI instead (11/21/2014).
20150121000131,Tools,ESAPI - Enterprise Security API,OWASP ESAPI (The OWASP Enterprise Security API) is a free; open source; web application security control library that makes it easier for programmers to write lower-risk applications. The ESAPI for Java library is designed to make it easier for programmers to retrofit security into existing applications. ESAPI for Java also serves as a solid foundation for new development.,Open Source,,,,60000,,,,,,Adopt,,2014/11/21,,2012/01/01,James Ratzlaff wanted to add Antisamy in "Move Off" status to make sure no new development uses it; and uses ESAPI instead.
20150121000132,Platforms,Ataccama,Data quality and data quality management (reporting; user definition; clensing; rules etc.),Ataccama Corp,,,,5000,80000,,,,GE Capital HQ;GE Capital Chezch Repubic,Adopt,,2014/12/04,,2014/06/01,
20150121000133,Platforms,JBoss-International,Application server authored by JBoss; now developed by Red Hat. WildFly is written in Java; and implements the Java Platform; Enterprise Edition (Java EE) specification,Red Hat,,,,800000,,,,,,Adopt,,2014/12/04,,2011/01/01,
20150121000134,Platforms,LifeRay-International,Liferay Portal is a web platform with features commonly required for the development of websites and portals. Liferay includes a built-in web content management system allowing users to build websites and portals as an assembly of themes; pages; portlets/gadgets and a common navigation,Open Source,,,,500000,,,,,,Hold,,2015/01/08,N,2011/01/01,Is being adopted in UK
20150121000135,Platforms,Websphere-GECA,IBM Application Server,IBM,,,,3000000,,,,,GECA,Adopt,,2014/12/09,N,2013/01/01,
20150121000136,Platforms,Websphere-International,IBM Application Server,IBM,,,,3000000,,,,,GECA,Move Off,,2014/12/09,N,2013/01/01,Use JBoss
20150121000137,Platforms,Rainbow,General Testing Automation platform with primary focus on web,GE,,,,100000,,,,,GECA;Capital;HQ,Adopt,,2014/12/10,N,2012/01/01,
20150121000138,Platforms,Siebel,Service Request processing ,Siebel,,,,1000000,,,,,,Hold,Move Off,2014/12/09,N,2014/12/09,Outdated 
20150121000139,Languages,Hibernate,Open source Java framework for ORM,Open Source,,,,500000,,,,,GECA,Adopt,,2014/12/09,N,2014/12/09,
20150121000140,Tools,Subversion,Revision control system used in software development; especially when a project involves multiple teams in different locations,Open Source,,,,8000000,,,,,GECA;HQ,Adopt,,2015/01/08,Y,2014/12/09,Source control; or source repository? Consolidate tools - Hosts(Open GE; GIT Hub) Source Code Management(SVN; GIT; CVS).
20150121000141,Platforms,Teradata,Enterprise Data Warehouse Platform,Teradata,,,,2000000,,,,,GECA;HQ,Adopt,Hold,2014/12/09,N,2014/12/09,
20150121000142,Tools,Introscope,CA Wily Introscope monitors complex web applica tions in production environments 24x7; detects problems before they affect your customers and lets you resolve these issues quickly and collaboratively.,CA,,,,80000,,,,,GECA,Adopt,,2014/12/10,N,2014/12/10,
20150121000143,Tools,DynaTrace,Allows business owners to understand performance from the user's point of view. This includes all (web) page actions; whether these actions call content and resources in the data centre or in the cloud.,Compuware,,,,50000,,,,,GECA,Adopt,,2014/12/10,N,2014/12/10,
20150121000144,Tools,Fiddler,Fiddler captures HTTP and HTTPS traffic and logs it for the user to review (the latter by implementing man-in-the-middle interception using self-signed certificates). Fiddler can also be used to modify ("fiddle with") HTTP traffic for troubleshooting purposes as it is being sent or received. By default; traffic from Microsoft's WinINET HTTP(S) stack is automatically directed to the proxy at runtime; but any browser or web application (and most mobile devices) can be configured to route its traffic through Fiddler.,Telerik,,,,50000,,,,,GECA,Adopt,,2014/12/10,N,2011/12/10,
20150121000145,Tools,NewRelic,New Relic is a software analytics company based in San Francisco; California. Lew Cirne founded New Relic in 2008 and currently acts as the company's CEO. New Relic's technology; delivered in a software as a service (SaaS) model; monitors Web and mobile applications in real-time that run in cloud; on-premises; or hybrid environments.,NewRelic,,,,20000,,,,,GECA,Adopt,,2014/12/10,N,2012/12/10,
